=== resolving ===
=== resolved 18 packages -> D:\develop\project\Janus\coding-agent-platform\.wheels ===
  fastapi==0.112.0  (fastapi-0.112.0-py3-none-any.whl)
  uvicorn==0.30.6  (uvicorn-0.30.6-py3-none-any.whl)
  starlette==0.38.2  (starlette-0.38.2-py3-none-any.whl)
  pydantic==2.8.2  (pydantic-2.8.2-py3-none-any.whl)
  typing-extensions==4.12.2  (typing_extensions-4.12.2-py3-none-any.whl)
  click==8.1.7  (click-8.1.7-py3-none-any.whl)
  h11==0.14.0  (h11-0.14.0-py3-none-any.whl)
  colorama==0.4.6  (colorama-0.4.6-py2.py3-none-any.whl)
  httptools==0.6.1  (httptools-0.6.1-cp310-cp310-win_amd64.whl)
  python-dotenv==1.0.1  (python_dotenv-1.0.1-py3-none-any.whl)
  pyyaml==6.0.2  (PyYAML-6.0.2-cp313-cp313-win_amd64.whl)
  watchfiles==0.23.0  (watchfiles-0.23.0-cp310-none-win_amd64.whl)
  websockets==12.0  (websockets-12.0-py3-none-any.whl)
  anyio==4.4.0  (anyio-4.4.0-py3-none-any.whl)
  annotated-types==0.7.0  (annotated_types-0.7.0-py3-none-any.whl)
  pydantic-core==2.20.1  (pydantic_core-2.20.1-cp310-none-win_amd64.whl)
  idna==3.7  (idna-3.7-py3-none-any.whl)
  sniffio==1.3.1  (sniffio-1.3.1-py3-none-any.whl)
[skip] fastapi-0.112.0-py3-none-any.whl
[skip] uvicorn-0.30.6-py3-none-any.whl
[skip] starlette-0.38.2-py3-none-any.whl
[skip] pydantic-2.8.2-py3-none-any.whl
[skip] typing_extensions-4.12.2-py3-none-any.whl
[skip] click-8.1.7-py3-none-any.whl
[skip] h11-0.14.0-py3-none-any.whl
[skip] colorama-0.4.6-py2.py3-none-any.whl
[skip] httptools-0.6.1-cp310-cp310-win_amd64.whl
[skip] python_dotenv-1.0.1-py3-none-any.whl
[skip] PyYAML-6.0.2-cp313-cp313-win_amd64.whl
[skip] watchfiles-0.23.0-cp310-none-win_amd64.whl
[skip] websockets-12.0-py3-none-any.whl
[skip] anyio-4.4.0-py3-none-any.whl
[skip] annotated_types-0.7.0-py3-none-any.whl
[skip] pydantic_core-2.20.1-cp310-none-win_amd64.whl
[ok]   idna-3.7-py3-none-any.whl
[ok]   sniffio-1.3.1-py3-none-any.whl
=== done ===
